"id","REF MLH","REF. HESPERIA","YACIMIENTO","MUNICIPIO","MATERIAL","OBJETO","TIPO SOPORTE","signario paleohispánico?","TEXTO","APARATO CRÍTICO","LENGUA"
"20","C.08.15.S1","B.41.16","Baetulo","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","[---]$baś&","$baś&, $kaś& o $lś& o $IM& E;","IBERICO"
"21","C.08.16.S1","B.41.13","Baetulo","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","$lku&","$lku&, $lŕ& o $AO& o $OV& E","IBERICO"
"23","C.08.08.S1","B.41.11","Baetulo","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","karkan$kati&","$kati&, $kato& E (altern.)","IBERICO"
"24","C.08.07.S1","B.41.10","Baetulo","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","ei",,"IBERICO"
"25","C.08.21.S1","B.41.07","Baetulo","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","l+[---]",,"IBERICO"
"26","C.08.14.S1","B.41.15","Baetulo","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","tin[---]",,"IBERICO"
"27","C.08.09.S1","B.41.06","Baetulo","Barcelona","CERAMICA","Tapadera","FIRMA ARTES.","LEVANTINO","iun",,"IBERICO"
"28","C.09.02.S1","B.37.03","Montjuïc","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","$baikar&","$baikar&, $keikar& Luján $baikaII& Panosa (1993)","IBERICO"
"29","C.09.03.S1","B.37.04","Montjuïc","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","uatina",,"IBERICO"
"30","C.31.01.S1","B.36.03","El Camí Vell del Llor","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","iko",,"IBERICO"
"31","C.31.09.S1","B.36.05","El Camí Vell del Llor","Barcelona","CERAMICA","Ánfora","INDET.","LEVANTINO","[---]ba+[---]",,"IBERICO"
"32","C.31.10.S1","B.36.LATINA","El Camí Vell del Llor","Barcelona","CERAMICA","RECIPIENTE","INDIC. CAPACIDAD","LEVANTINO","$VV&","$VV&, $ḿḿ& o $aḿ& E;","IBERICO"
"33","C.31.02.S1","B.36.06","El Camí Vell del Llor","Barcelona","CERAMICA","Ánfora","INDET.","LEVANTINO","[---]esa",,"IBERICO"
"34","C.31.03.S1","B.36.08","El Camí Vell del Llor","Barcelona","CERAMICA","Ánfora","INDET.","LEVANTINO","[---]+$eti&+[---]","$eti&, $kati& Panosa 1993","IBERICO"
"35","C.31.04.S1","B.36.07","El Camí Vell del Llor","Barcelona","CERAMICA","Ánfora","INDET.","LEVANTINO","[---]$mba+&[---]","$mba+&, $+bai& Panosa;","IBERICO"
"36","C.31.05.S1","B.36.02","Sant Boi de Llobregat","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","tau[---]",,"IBERICO"
"37","C.31.08.SUPLATINA","B.36.LATINA","Sant Boi de Llobregat","Barcelona","CERAMICA","RECIPIENTE","INDET.","LATINO","$VA&","$VA&, $al& o $PA& Panosa;","LATIN"
"38","C.31.06.S1","B.36.04","Sant Boi de Llogregat","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","laku",,"IBERICO"
"39","C.31.07.S1","B.36.01","Sant Boi de Llobregat","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","skéŕlakónaŕankókólo[---]",,"IBERICO"
"40","C.32.01.S1","B.16.01","Egara","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","ai",,"IBERICO"
"41","C.32.02.S1","B.16.02","Egara","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","bai[---]",,"IBERICO"
"42","C.32.03.S1","B.16.04","Egara","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","use[---]",,"IBERICO"
"43","C.11.13.S1","B.17.11","Can Fatjó","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","[---]lau",,"IBERICO"
"44","C.12.03.S1","B.20.14","El Turó de Ca n&#039;Oliver","Barcelona","CERAMICA","Dolium","PROPIEDAD","LEVANTINO","[---]kule",,"IBERICO"
"45","C.12.02.S1","B.20.04","El Turó de Ca n&#039;Oliver","Barcelona","CERAMICA","RECIPIENTE","FIRMA ARTES.","LEVANTINO","$bilo[s]aŕkértekiar&","$bilo[s]aŕkértekiar&, $bilo[ś]aŕkekutelar& E $bilośtikeŕtekiar& Velaza $bilo[s]aŕkertekiar& o $alo[&?$]aŕkertekiar& Panosa","IBERICO"
"46","C.33.01.S1","B.13.01","El Puig Cardener","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","$atuŕọ&[---]","$atuŕọ&, $atuŕn& Cura, Panosa;","IBERICO"
"47","C.33.02.S1","B.14.01","Boades","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","$lal&","$lal&, $laki& o $laku& Panosa (altern.);","IBERICO"
"48","C.33.04.S1 = C.58.4.S1","B.14.02","Boades","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","%a)# $lu&
\
\
%b)# (aspa)","$lu&, $kau& Panosa","IBERICO"
"50","C.33.03.S1","B.14.03","Boades","Barcelona","CERAMICA","Ánfora","INDET.","LEVANTINO","baŕ",,"IBERICO"
"51","D. (C.34.06.S1)","B.12.06","Sigarra","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","%a)# $o&
\
\
%b)# $a&","$o&, $oa[---]& Panosa (lectura conjunta);
\
$a&,  $oa[---]& Panosa (lectura conjunta);","IBERICO"
"52","D.","B.12.07","Sigarra","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","[---]-s",,"IBERICO"
"53","D. (C.34.01.S1)","B.12.01","Sigarra","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","$ata&","$ata&, $tal& Velaza $tar[---]& o $tal[---]& Panosa;","IBERICO"
"54","D. (C.34.02.S1)","B.12.03","Sigarra","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","$ḿba&","$ḿba&, $taba& o $XI& Cura, Panosa $bata& o $IX& Panosa;","IBERICO"
"55","D. (C.34.03.S1)","B.12.05","Sigarra","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","ube",,"IBERICO"
"56","D. (C.34.04.S1)","B.12.02","Sigarra","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","$itiḿ&","$itiḿ&, $itiḿ& Velaza, Panosa $itin& Velaza (altern.);","IBERICO"
"58","D. (C.34.05.S1)","B.12.08","Sigarra","Barcelona","CERAMICA","Ánfora","INDET.","LEVANTINO","%a)# $alauke&
\
\
%b)# ti","$alauke&, $alauke& o $alautike& Panosa $alaltita& Velaza","IBERICO"
"59","D. (C.55.01.S1)","B.10.01","L&#039;Aubreda","Barcelona","CERAMICA","Ánfora","INDET.","LEVANTINO","%a)# $[---]ti&
\
\
%b)# $+&","$[---]ti&, $[---]tiki[---]& o $[---]tie[---]& E (lectura conjunta);
\
$+&, $[---]tiki[---]& o $[---]tie[---]& E (lectura conjunta);","IBERICO"
"60","D. (C.56.01.S1)","B.53.01","El Pla de les Sitges del Camaró","Barcelona","CERAMICA","RECIPIENTE","INDET.","Indet.","[---]$++&","$++&, $tol& o $toa& o $til& o $tia& o $tika& o $+bal& Panosa","INDET."
"61","C.35.01.S1","T.03.04","El Vilar","Tarragona","CERAMICA","INSTRUMENTO","INDET.","LEVANTINO","$:iŕekeśta(ḿ)nataŕśuekiarsinekun&
\
$baibaibar&","$: iŕekeśta(ḿ)nataŕśuekiaŕsinekun&, -$keśta(o)n&- Ferrer i Jané (2008, altern.) $uśtanataŕśuekiaŕsinekunsiŕ& Panosa (1993) -$sir& Silgo (1999) -$ekiarsinekunsir& Rodríguez Ramos (2004) $ataŕśuekiaŕsinekunsiruśtaḿi& Panosa (2008) $uśtaḿiataŕśuekiaŕsinekunsiŕ& Panosa (2015) ;
\
$baibaibar&, $libaibaŕ& Panosa (1993) (2008) $libaibar& Silgo (1999), Rodríguez Ramos (2004), Panosa (2015) $ḿ& vac $libaibaŕ& de Hoz (2011)","IBERICO"
"62","C.36.01.S1","T.14.02","El Castell d&#039;Amposta","Tarragona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","taŕ",,"IBERICO"
"63","C.36.02.S1","T.14.03","El Castell d&#039;Amposta","Tarragona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","$stu[---]&","$stu[---]&, [---]$kas& Panosa (altern.) ;","IBERICO"
"65","C.08.06.S1","B.41.12","Baetulo","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","%a)# $la&
\
\
%b)# ka","$la&, $AP& E","IBERICO"
"66","C.29.01.S1","GI.17.01","Montbarbat","Girona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","ul",,"IBERICO"
"67","C.29.02.S1","GI.17.02","Montbarbat","Girona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","[---]lkoti",,"IBERICO"
"75","C.01.12","GI.10.19","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","tuŕśbiuŕar"," ","IBERICO"
"76","C.01.30.S1","GI.10.16","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","$bikitiŕ&","$bikitir&, $lstiŕ& Panosa","IBERICO"
"77","C.01.31.S1","GI.10.17","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","$biuŕtáŕar&","$biuŕtáŕar&, $biurboŕar& Panosa","IBERICO"
"78","C.01.32.S1","GI.10.18","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","ki$bas&","$bas&, $bas& E (altern.), $ḿs& Panosa","IBERICO"
"79","C.01.33.S1","GI.10.20","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","unbas",,"IBERICO"
"80","C.21.06.S1","T.07.02","El Castellet de Banyoles","Tarragona","PLOMO","LAMINA/PLANCHA","INDET.","LEVANTINO","%A)#
\
$[---]uteska&:eŕkaikiśoka:baŕbinkite
\
$[---]kian&aiun$ortiniku&:$śalir&$otanai&
\
$[---]ulti&beikate:$śalir&:siatikanis:
\
$[---]tike&
\
\
%B)#
\
aiun$ortin&ika$bitaŕ&ante$śir&","$[---]uteska&, [---]$uteska& Silgo (1994, 249), Untermann, Velaza, Panosa (1999) [---]$lteska& Rodríguez Ramos, Panosa (2015) $uteska& Ed. princeps, Faria ;
\
$[---]kian&, [---]$kian& Untermann, Velaza, Rodríguez Ramos, Panosa (2015) $kian& Ed. princeps, Faria ; $ortiniku&, -$iku& Untermann, Velaza, Rodríguez Ramos -$ite& Faria, Silgo (1994, 216) -$ir& Panosa (2015) -$i&+ Moncunill - Velaza $oatinibu& Ed. princeps ; $śalir&, $śalia& Ed. princeps ; $otanai&, $otanai& Ed. princeps, Faria, Rodríguez Ramos, Orduña, Panosa (2015), Moncunill - Velaza $obonai& Silgo (1994, 213), Untermann, Velaza ;
\
$[---]ulti&, [---]$ulti& Untermann, Velaza, Rodríguez Ramos, Panosa (2015) $ulti& Ed. princeps, Faria ; $śalir&, $śalia& Ed. princeps ;
\
$[---]tike&, [---]$tike& Panosa (1999, altern.) (2015) $ti&+ Ed. princeps, Panosa (1999) $tiṭẹ& Silgo (1994, 141) $tike& [---]$tor& Untermann, Velaza [---]$toŕ& Rodríguez Ramos om. Faria ;
\
\
$ortin&, $oatin& Ed. princeps ; $bitaŕ&, $bitaŕ& Faria, Untermann, Velaza, Rodríguez Ramos, Panosa (2015) +$taŕ& Ed. princeps [.]$taŕ& Silgo (1994, 129) ; $śir&, $śir& Panosa (2015) $siŕ& Faria, Silgo (1994, 244) $śia& Ed. princeps, Untermann $sia& Velaza $sir& Rodríguez Ramos $śiŕ& Moncunill - Velaza ;","IBERICO"
"81","C.21.07.S1","T.07.04","El Castellet de Banyoles","Tarragona","PLOMO","LAMINA/PLANCHA","INDET.","LEVANTINO","------?
\
$[i]unsti&-
\
$r&:ban$bite&-
\
$ŕoka& $:&
\
$[1-2]+e&
\
------","$[i]unsti&, $unsti&+ Benages [$i&]$unsti&- Faria, Silgo (1994, 189) [$i&]$unsti&+[---] Untermann [$i&]$unsti&[$r&] Moncunill [---]$unstiṛ&[---] Panosa (2015) ;
\
$r&, $a& Benages $r& Faria, dubit. Silgo (1994, 21) [---]$a& Untermann, Moncunill, Panosa (2015) ; $bite&, $bite&[---] Untermann, Moncunill, Panosa (2015) ;
\
$ŕoka&, $aoka& Benages $roka& Faria [---]$ŕoka& Silgo (1994, 213), Untermann, Moncunill [---]$roka& Panosa (2015) ; $: &, $:& [---] Untermann, Moncunill ;
\
$[1-2]+e&, +$e& Benages [---]$e& Faria, Silgo (1994, 151) [---]$ŕe&[---] Untermann, Moncunill [---]+$e& Panosa (1999) [---]+$e&[---] Panosa (2015) ;","IBERICO"
"82","F. (C.00.03.S1)","T.00.03","Desconocido","Tarragona","PLOMO","LAMINA/PLANCHA","INDET.","LEVANTINO","[---]$ṛ́skáito+&[---]
\
[---]$+silunini+&[---]
\
[---]ḅẹkeŕṭịniŕiká[---]","$ṛ́skáito+&, $ṛ́skaiṭọ& Ed. princeps ;
\
$+silunini+&, $+siluniniḷ& Ed. princeps ;","IBERICO"
"83","C.00.01","T.00.01","Desconocido","Tarragona","PLOMO","LAMINA/PLANCHA","COMERCIAL","LEVANTINO","koŕasiŕen:e Π I
\
neŕseoŕtinika:e I I
\
ḳạisuŕanaŕika:I I   ",,"IBERICO"
"2583","D.","L.10.01","Serra de Puigverd III","Lleida","CERAMICA","Ánfora","INDET.","LEVANTINO","$aŕsi&[---]","$aŕsi&, $akusi& Ed. princeps (altern.);","IBERICO"
"2584","D.","L.08.02","Ilerda","Lleida","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","$bin++&[---]","
\
$bin++&, $biṇ+& Ed. princeps;","IBERICO"
"85","C.01.01","GI.10.03","Empúries","Girona","PIEDRA","LAPIDA","PUBLICO","LEVANTINO","------
\
[---]+++ke[---]
\
[---]inti · tan+[---]
\
[---]+ke · koŕnel+[---]
\
[---]ite · ika+[---]
\
[---] · s[---]
\
------",,"IBERICO"
"86","C.01.02","GI.10.04","Empúries","Girona","PIEDRA","LAPIDA","INDET.","LEVANTINO","------
\
[---]tineoś[---]
\
[---]+tikirsakaŕ
\
[---]++i[---]r
\
------",,"IBERICO"
"87","C.01.03","GI.10.05","Empúries","Girona","PIEDRA","LAPIDA","INDET.","LEVANTINO","------
\
[---]+[---]
\
[---]ko:ne[---]
\
[---]+rśar[---]
\
[---]s:[---]
\
------",,"IBERICO"
"90","C.07.17.S1","B.44.15","El Turó dels Oriols","Barcelona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","ata",,"IBERICO"
"91","C.38.01.S1","B.15.02","Les Soleies","Barcelona","CERAMICA","Ánfora","INDET.","LEVANTINO","$beịḳạṇkine&","$beịḳạṇkine&, $beaankin++ẹ&[---] Velaza (1991);","IBERICO"
"92","C.37.01.S1","B.39.01","El Castell de Cornellà","Barcelona","CERAMICA","RECIPIENTE",,"LEVANTINO","%a)# iunia
\
\
%b)#  bo"," ","IBERICO"
"93","C.03.07.S1","GI.08.13","El Mas Castellar","Girona","CERAMICA","Ánfora","INDET.","LEVANTINO","$ọli& (vac) $ti&
\
","$ọli&, ΝΛΝ o NLN Ed. princeps;
\
$ti&, (tridente) o Ψ Ed. princeps;","IBERICO"
"94","C.30.05.S1","B.43.05","Jardí Park","Barcelona","CERAMICA","Dolium","FIRMA ARTES.","LEVANTINO","lauŕko",,"IBERICO"
"95","C.30.02.S1","B.43.02","La Cadira del Bisbe","Barcelona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","[---]teḿr",,"IBERICO"
"96","C.39.01.S1","GI.19.01","Els Guíxols","Girona","CERAMICA","RECIPIENTE",,"LEVANTINO","$bil& ","$bil&,  $al& Panosa (altern.)","IBERICO"
"97","C.40.01.S1","B.18.01","Can Feu","Barcelona","CERAMICA","Dolium",,"LEVANTINO","$[bakaś]utaŕte&","
\
$[bakaś]utaŕte&, $[---]utaṃ́ŕte ḅạ& Panosa;","IBERICO"
"98","C.18.11.S1","T.03.01","Masmolets","Tarragona","CERAMICA","Ánfora","FIRMA ARTES.","LEVANTINO","nio
\
\
  ",,"IBERICO"
"99","C.21.09.S1LATINA","T.07.10LATINA","El Castellet de Banyoles","Tarragona","CERAMICA","RECIPIENTE","PROPIEDAD","LATINO","$MAG(---)&","$MAG(---)&, $eṃ́ṃ́& o $llka& Panosa (2001), Moncunill $iki& o $ska& Moncunill (altern.) $llkaḳẹ& o $ḅạeḿḿ& Panosa (2015) ;","LATIN"
"100","D.01.02.S1","B.04.01","El Camp de les Lloses","Barcelona","PLOMO","TESERA",,"LEVANTINO","$beŕbaiekinetiḿi&","$beŕbaiekinetiḿi&, $berkalneti+n& de Hoz (Duran et al. 1995) $-kinetaḿn& o $-kinetaban& Rodríguez Ramos","IBERICO"
"101","D. (C.64.01.S1)","B.54.01","El Fonollar","Barcelona","CERAMICA","RECIPIENTE","INDET.","Indet.","[---]$++&[---]","$++&, $kaḿ& o $lḿ& Panosa","INDET."
"102","C.01.04","GI.10.06","Empúries","Girona","PIEDRA","LAPIDA",,"LEVANTINO","------
\
[---]ta+lta$nki&[---]
\
[---]lakiniki[---]","1: ]ta+lta$nki&[ ,  ]ta+lta$iki&[   MLH (altern.)","IBERICO"
"103","C.01.05","GI.10.10","Empúries","Girona","PLOMO","LAMINA/PLANCHA","FUNERARIO","LEVANTINO","lakeŕeiartuŕu baisebilos$ : bele&śtabanar : or [ 5 ]+reenatilar","2: $.bele&sta, $.kule&sta  MLH (altern.)","IBERICO"
"104","C.01.06 = EMP II","GI.10.12","Empúries","Girona","PLOMO","LAMINA/PLANCHA",,"LEVANTINO","%a#
\
$nalbesosin& 
\
lakun uralaśkaŕ 
\
akaśtikeŕ siken+++
\
aŕtakalebalkeaŕ++
\
 ++talon
\
\
%b#
\
sikounin 
\
ilakotinebabon
\
abatulkatuŕaba$niu& 
\
\
","$nalbesosin&, $nabaŕsosin& Almagro;
\
$niu&, $nui& MLH (altern.)","IBERICO"
"105","C.01.07","GI.10.13","Empúries","Girona","PIEDRA","Colgante","PROPIEDAD","LEVANTINO","bintaŕe",,"IBERICO"
"106","C.01.08","GI.10.14","Empúries","Girona","PIEDRA","PESA DE TELAR","INDET.","LEVANTINO","sorseiteŕkeboiḿi",,"IBERICO"
"107","C.01.09","GI.10.15","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","%a)# goŕotiginai 
\
\
%b)# $ukal&  
\
\
%c)# $auŕkeŕen&","$ukal&, $uekal& MLH (altern.);
\
$auŕkeŕen&, $biuŕkeŕen&","IBERICO"
"108","C.01.10","GI.10.28","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","ultibeleś",,"IBERICO"
"109","C.01.11","GI.10.22","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","balkar[---]",,"IBERICO"
"111","C.01.13LATINA","GI.10.LATINA","Empúries","Girona","CERAMICA","RECIPIENTE",,"LEVANTINO","%a#
\
iueś 
\
ubieke 
\
\
%b#
\
uḿba$l& 
\
\
","    uḿba$l&, uḿba$s&  MLH (altern.)","IBERICO"
"112","C.01.14","GI.10.26","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","nu",,"IBERICO"
"113","C.01.15GRAECA","GI.10.GRAECA","Empúries","Girona","CERAMICA","RECIPIENTE",,"GRIEGO","$otu&       ","1. $otu&, $or&, $tuo&, $ro& MLH (altern.). Las dos letras en ligatura. El grafito puede ser griego; en ese caso, habría que leer  $HP&, $HD&, $PH&, $DH&, MLH (altern.)","GRIEGO"
"114","C.01.16","GI.10.24","Empúries","Girona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","%a)# ka
\
\
%b)# noa?
\
\
%c)# $bin&
\
\
%d)# $oka&?","   $bin&,  $kan&  MLH (altern.);
\
 $oka&, griego $HA&?  MLH (altern.) ;","IBERICO"
"115","C.01.17","GI.10.23","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","ben",,"IBERICO"
"116","C.01.18","GI.10.27","Empúries","Girona","CERAMICA","RECIPIENTE","PROPIEDAD","LEVANTINO","on",,"IBERICO"
"117","C.01.19","GI.10.29","Empúries","Girona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","uo",,"IBERICO"
"118","C.01.20","GI.10.25","Empúries","Girona","CERAMICA","RECIPIENTE","INDET.","LEVANTINO","$is&"," $is&,  $i s&  MLH (altern.)","IBERICO"
"119","C.01.22","GI.10.31","Empúries","Girona","CERAMICA","TESERA","INDET.","LEVANTINO","%a)# takoe
\
\
%b)# otin
\
"," ","IBERICO"
"120","C.01.23","GI.10.32","Empúries","Girona","BRONCE","TESERA","PROPIEDAD","LEVANTINO","%a)# bin 
\
\
%b)# en"," ","IBERICO"
"121","C.02.01","GI.15.01","El Puig de Sant Andreu","Girona","PIEDRA","ESTRUC. ARQUIT.","PUBLICO","LEVANTINO","[---]$abeŕbu&[---]","$akoŕbu& Simón","IBERICO"
"122","C.02.02","GI.15.02","El Puig de Sant Andreu","Girona","PIEDRA","ESTRUC. ARQUIT.","PUBLICO","LEVANTINO","[---]$i+&","$i+&, $ibe& Untermann (alt1) $i& Untermann (alt2)","IBERICO"
"123","C.02.03","GI.15.04","El Puig de Sant Andreu","Girona","PLOMO","LAMINA/PLANCHA","INDET.","LEVANTINO","%A#
\
1 ar:basiaŕebe 
\
2 ebaŕikáme:túikésiŕa:borsté:abaŕkeborsté:téŕ
\
3 tiŕs:baitesbi:$nei&tékeŕu:táŕbelioŕkú:$tímoŕ&
\
4 kíŕ:bartaśkó:anbeikú:baitesir:saltukó:kúletábeŕkú+
\
5 bikiltiŕsté:eŕeśu:kótibanen:eberka:táśkáliŕs
\
6 loŕsa:batíbi:biuŕtáneś:saltukileŕkú:ki
\
\
%B#
\
$taŕun&:atábaker:$abaśaker&:tásbeŕiun:erna:borakáu
\
\
\
"," $nei&,  $lei& Silgo 1994, 133;
\
$tímoŕ&, $tímoke& Silgo 142;
\
$taŕun&, $bataŕun& Moncunill-Velaza;
\
$abaśaker&, $abaśakeba& Siles - Silgo;","IBERICO"
"124","C.02.04","GI.15.05","El Puig de Sant Andreu","Girona","PLOMO","LAMINA/PLANCHA","INDET.","LEVANTINO","$aŕka(+)ibe[&
\
$biuŕau[&
\
eteso
\
- - -]+s[ 
\
- - -]$tar&[  
\
$+biuŕso&
\
$++&  
\
biuŕti$baś& 
\
lauŕto 
\
ete$śuŕ& 
\
$ie I I I I&[-]o 
\
 -]te+[- -]++","$aŕka(+)ibe[&, $akataibe[& Maluquer;
\
$biuŕau[&, $auŕbiu[& Maluquer;
\
$̣tar&, $bor& MLH;
\
$+biuŕśo&,  $+luŕso& MLH (altern.)  $auŕso& Maluquer; 
\
$++&,  $kobo&  Maluquer;
\
$baś& , $beś&  MLH (altern.); 
\
$śuŕ&,  $keŕ&  MLH (altern.) $l[-]ŕ& Maluquer;
\
$ie I I I I&, $ieto& Moncunill-Velaza (Alt)
\
","IBERICO"
"125","C.02.05","GI.15.06","El Puig de Sant Andreu","Girona","PLOMO","LAMINA/PLANCHA","INDET.","LEVANTINO","unibelo[ 
\
$baitaś&:tekar[ 
\
koroiker[ 
\
$tortinai[&","$baitaś&, $keiboś& Siles $baiboś& MLH;
\
$tortinai[&, $tortina[& Siles","IBERICO"
"126","C.02.06","GI.15.07","El Puig de Sant Andreu","Girona","PLOMO","LAMINA/PLANCHA","INDET.","LEVANTINO","aŕki[ bite$u&[ okano[ śal[","2: bite$u&[ ,  bite$tu&[  MLH (altern.)","IBERICO"
"127","C.02.07","GI.15.08","El Puig de Sant Andreu","Girona","PLOMO","LAMINA/PLANCHA","INDET.","LEVANTINO","is[si[",,"IBERICO"
